Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,10405,1603,10000
1,10808,1220,10000
2,3515,2718,5000
3,833,2458,0
4,3134,2295,0
5,8722,1466,10000
6,1774,1626,5000
7,904,1515,5000
8,1126,1394,0
9,1422,1300,5000
10,1362,2073,0
11,4721,1231,10000
12,2760,3105,5000
13,3159,959,10000
14,1367,2135,10000
15,302,378,5000
16,801,933,0
17,1903,2161,5000
18,1302,1633,0
19,1385,1401,10000
20,3067,2359,5000
21,1351,2120,5000
22,1640,1642,0
23,3233,3159,5000
24,560,1559,0
25,50,1926,5000
26,2901,2273,0
27,1095,1691,5000
28,1882,2775,0
29,2982,2716,5000
30,1997,2172,5000
31,13879,1915,10000
32,1193,1454,5000
33,578,1494,0
34,920,2013,5000
35,2778,2530,0
36,8054,2295,10000
37,915,1504,5000
38,2011,1834,5000
39,1188,1806,0
40,1838,1440,0
41,445,1171,5000
42,481,1724,0
43,108,1131,10000
44,1248,2285,5000
45,225,932,5000
46,1176,1084,10000
47,4785,1554,10000
48,106,1015,10000
49,561,1675,5000
50,11652,1372,10000
51,50,1231,10000
52,520,1409,5000
53,2579,2375,10000
54,574,2132,0
55,46,682,0
56,2208,2382,10000
57,447,1221,0
58,155,887,10000
59,9529,2035,10000
60,12096,1505,10000
61,110,1037,0
62,11136,784,10000
63,7032,1740,10000
64,174,1265,5000
65,226,1189,0
66,9010,1586,10000
67,6040,669,10000
68,18283,855,10000
69,807,1804,10000
70,2717,2484,10000
71,20,302,10000
72,275,1515,0
73,9061,457,10000
74,9842,1834,10000
75,91,1069,10000
76,452,1525,5000
77,368,1884,10000
78,1123,1349,10000
79,5611,531,10000
80,280,1525,10000
81,9330,1330,10000
82,516,1799,10000
83,554,1038,5000
84,3085,1818,10000
85,844,1305,10000
86,286,2085,5000
87,925,1297,10000
88,12172,1375,10000
89,7473,1392,10000
90,5597,768,10000
91,1818,1412,10000
92,1144,709,10000
93,828,1736,10000
94,1647,2474,5000
95,80,1155,10000
96,12558,1301,10000
97,515,1533,0
98,20,1341,5000
99,469,1704,10000
100,637,1601,5000
101,10528,1478,10000
102,17687,1420,10000
103,542,1585,5000
104,1097,2176,10000
105,239,1146,5000
106,50,922,5000
107,632,1212,10000
108,1835,2762,5000
109,1153,1932,0
110,387,991,10000
111,73,1457,5000
112,2151,2197,0
113,9389,1282,10000
114,1402,1976,0
115,820,2227,0
116,1635,1904,5000
117,7067,1837,10000
118,10810,1295,10000
119,2093,570,10000
120,516,1451,10000
121,602,2005,0
122,4763,2060,10000
123,2410,2292,5000
124,2163,1946,5000
125,1876,2836,0
126,349,1186,5000
127,950,1296,5000
128,1564,1300,5000
129,293,1221,5000
130,993,2403,5000
