Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,9313,2351,0
1,11570,225,5000
2,3013,1135,0
3,1158,734,0
4,4955,1201,0
5,8861,1076,0
6,2913,1157,0
7,4015,388,5000
8,1966,1204,0
9,7835,419,5000
10,2341,677,0
11,1566,749,0
12,12603,1387,0
13,1485,859,0
14,170,865,0
15,225,210,0
16,600,437,0
17,4746,946,0
18,121,681,0
19,749,1260,0
20,12575,459,5000
21,843,994,5000
22,10462,786,5000
23,13876,483,5000
24,8461,225,5000
25,50,417,0
26,6037,699,0
27,1042,806,0
28,10763,1606,5000
29,7974,1337,5000
30,7918,598,5000
31,14191,805,5000
32,2670,861,0
33,2152,991,0
34,1138,1028,0
35,7021,1408,5000
36,14920,905,0
37,6346,776,0
38,472,801,0
39,3899,375,5000
40,6230,910,5000
41,7589,410,5000
42,6790,1223,0
43,10563,874,0
44,537,1089,0
45,2833,739,0
46,2423,704,0
47,5171,1030,0
48,8434,730,5000
49,180,1035,0
50,11912,800,0
51,112,371,0
52,5276,518,0
53,3454,1444,0
54,9638,1877,0
55,52,167,0
56,6152,857,5000
57,6191,641,0
58,105,436,0
59,5636,791,5000
60,12367,1552,0
61,3285,440,0
62,4761,710,5000
63,8466,640,0
64,239,595,0
65,1641,892,5000
66,13072,825,5000
67,6040,255,5000
68,118,805,0
69,279,871,0
70,4269,867,0
71,20,228,0
72,212,470,0
73,279,690,0
74,10953,1119,5000
75,91,438,5000
76,167,857,0
77,7335,999,5000
78,2328,721,0
79,5899,165,5000
80,117,795,0
81,9097,742,5000
82,2106,129,5000
83,217,502,0
84,13918,460,5000
85,963,1100,5000
86,592,926,5000
87,160,705,0
88,12707,480,5000
89,8214,181,5000
90,5959,681,5000
91,209,990,5000
92,168,460,0
93,616,674,5000
94,131,985,0
95,2045,426,5000
96,12020,658,0
97,468,580,0
98,20,580,0
99,178,636,0
100,581,850,5000
101,6947,914,5000
102,17578,1300,5000
103,9124,810,5000
104,417,775,0
105,165,687,0
106,4375,674,0
107,331,648,5000
108,3524,730,5000
109,2195,832,0
110,218,558,0
111,82,585,0
112,6346,1352,5000
113,9564,794,0
114,174,1082,0
115,117,618,0
116,8640,1113,0
117,8817,932,5000
118,11458,690,5000
119,163,595,0
120,93,578,0
121,12141,465,5000
122,9457,810,5000
123,392,505,0
124,10763,951,5000
125,580,759,0
126,586,577,0
127,16129,1056,5000
128,776,943,0
129,1009,1351,0
130,1943,609,5000
131,1188,827,0
132,14773,355,5000
133,1408,611,0
134,3328,892,0
135,387,783,0
136,7209,215,5000
137,7268,660,5000
138,759,868,0
139,1708,918,0
140,6977,635,5000
141,311,260,0
142,6794,1122,0
143,1972,625,5000
144,5903,416,0
145,108,659,0
146,881,1265,0
147,6988,1528,0
148,13562,826,0
149,381,1080,0
150,234,793,0
151,1093,734,0
152,7012,977,5000
153,13804,606,5000
154,13007,941,5000
155,1432,581,5000
156,13859,663,0
157,3103,706,5000
158,6937,705,5000
159,995,771,0
160,947,1354,0
161,5275,1273,5000
162,5857,845,0
163,10724,1412,0
164,7202,117,5000
165,424,735,0
166,8804,690,0
167,5792,765,0
168,117,437,0
169,8675,200,5000
170,10863,1093,0
171,8806,1261,5000
172,8220,921,5000
173,735,1082,0
174,8079,412,5000
175,1336,763,0
176,9056,344,5000
177,210,160,5000
178,924,1204,5000
179,13085,786,5000
180,231,736,0
181,3940,731,0
182,8873,945,5000
183,6287,1128,0
184,10554,345,5000
185,80,316,0
186,89,147,0
187,6392,886,5000
188,5828,855,0
189,11447,1289,0
190,5032,655,5000
191,1407,707,0
192,5215,662,0
193,20,645,0
194,1142,877,0
195,2115,705,0
196,3976,1479,0
197,1801,1000,0
198,1368,536,0
199,9051,1005,5000
200,1833,859,0
201,1288,798,0
202,4300,578,0
203,2153,882,0
204,13327,643,0
205,10618,646,0
206,1072,1156,0
207,17938,1925,5000
208,7561,812,0
209,1276,1282,0
210,7686,170,5000
211,1487,402,0
212,549,1215,0
213,15975,916,5000
214,999,1099,0
215,2573,773,0
216,4415,1019,0
217,5161,1029,0
218,1970,799,0
219,11951,380,5000
220,6196,1277,0
221,12321,1380,0
222,467,650,0
223,495,943,0
224,12052,1591,0
225,4892,940,0
226,5645,1263,0
227,2664,998,0
228,5723,880,0
229,2072,623,0
230,1576,1426,0
231,10164,447,5000
232,12919,620,5000
233,4086,1176,0
234,9924,871,5000
235,1408,1265,0
236,8424,1389,5000
237,834,856,0
238,652,485,0
239,9792,221,5000
240,920,993,0
241,2444,834,0
242,11635,1045,0
243,1869,423,0
244,1287,898,0
245,2580,1408,0
246,4462,344,5000
247,3206,777,0
248,8101,1009,0
249,2114,791,0
250,8156,827,0
251,1440,641,0
252,9856,879,5000
253,9248,856,5000
254,12428,87,5000
255,1862,1565,0
256,5225,703,0
257,10136,1261,5000
258,6853,901,0
259,3928,892,0
260,772,499,0
261,8553,367,5000
262,10272,712,0
263,389,916,0
264,2043,506,0
265,1794,1094,0
266,11748,420,5000
267,1363,822,5000
268,15118,135,5000
269,948,720,0
270,4147,651,0
271,1236,666,0
272,9552,812,0
273,716,973,0
274,1164,849,0
275,2370,1254,0
276,955,804,0
277,802,613,0
278,3437,1035,0
279,7333,320,5000
280,8455,1449,5000
281,840,849,0
282,1693,1402,0
283,8851,1105,0
284,8712,534,0
285,542,1105,0
286,626,477,0
287,12410,1216,5000
288,9384,1032,0
289,2836,680,0
290,6172,299,5000
291,510,656,0
292,2833,1130,0
293,1274,658,0
294,8589,635,5000
295,7919,543,5000
296,354,970,0
297,10561,1221,0
298,765,537,0
299,7613,1035,0
300,181,647,0
301,708,581,0
302,7582,1072,0
303,897,768,0
304,13246,485,5000
305,9922,1176,5000
306,6086,1014,0
307,589,1266,0
308,3902,912,0
309,9707,805,0
310,20,443,5000
311,8742,1050,5000
312,4640,1356,0
313,12636,165,5000
314,418,529,0
315,364,823,0
316,483,784,0
317,8928,854,0
318,4096,1137,0
319,50,530,0
320,1430,611,0
321,1420,938,0
322,6889,339,5000
323,13204,196,5000
324,14360,695,5000
325,2153,1039,0
326,10033,1116,5000
327,2067,1074,0
328,8079,822,5000
329,12157,349,5000
330,7848,655,5000
331,10400,838,5000
332,961,728,5000
333,15569,1619,0
334,11184,564,5000
335,690,718,0
336,9711,207,5000
337,938,851,0
338,5498,1464,5000
339,869,1077,0
340,8799,412,5000
341,727,941,0
342,930,1140,0
343,7073,568,5000
344,780,797,0
345,5603,1145,0
346,1164,739,0
347,2575,758,0
348,12618,699,5000
349,919,892,0
350,6213,683,0
351,10780,835,0
352,6063,1019,0
353,3316,1200,5000
354,14481,376,5000
355,5308,716,0
356,811,847,0
357,4913,178,5000
358,20,149,5000
359,1122,1054,0
360,1057,480,0
361,606,760,5000
362,5918,780,5000
363,42,569,0
364,109,475,0
365,10631,1349,5000
366,1168,641,0
367,1868,845,5000
368,5337,958,0
369,3131,1446,0
370,435,388,0
371,50,267,5000
372,50,785,0
373,11259,785,5000
374,13379,458,5000
375,50,323,0
376,114,756,0
377,8350,619,5000
378,5073,846,5000
379,11172,639,0
380,5625,844,5000
381,13614,565,5000
382,43,624,0
383,108,502,0
384,2938,736,5000
385,10147,685,5000
386,20,551,0
387,8390,471,5000
388,50,573,0
389,50,784,0
390,11050,482,5000
391,6927,270,5000
392,8308,600,5000
393,10643,345,5000
394,7567,343,0
395,50,714,0
396,91,353,0
397,8687,780,5000
398,536,410,0
399,5082,113,5000
400,20,301,0
401,157,780,0
402,1386,241,5000
403,50,605,0
404,6869,242,5000
405,4963,700,5000
406,4214,698,5000
407,11063,607,5000
408,106,512,0
409,50,454,0
410,11376,633,5000
411,11761,160,5000
412,5781,1112,5000
413,9297,537,5000
414,8339,1280,0
415,13530,604,5000
416,3642,519,0
417,11577,500,5000
418,108,478,0
419,66,847,0
420,5331,597,0
421,10478,375,5000
422,12102,598,5000
423,3864,722,5000
424,12914,467,5000
425,5202,769,5000
426,20,886,0
427,112,480,5000
428,3380,177,5000
429,6533,1092,5000
430,7162,399,5000
431,5726,847,5000
432,11490,255,5000
433,9247,750,0
434,10952,703,5000
435,11508,786,5000
436,7004,952,5000
437,15345,665,5000
438,6387,510,5000
439,713,680,5000
440,1383,750,5000
441,706,952,0
442,10180,1030,5000
443,50,495,0
444,11002,765,5000
445,10252,798,0
446,8382,1032,5000
447,11679,505,5000
448,7506,560,5000
449,10521,1134,5000
450,5909,1304,0
451,4559,488,5000
452,465,152,5000
453,50,1077,0
454,108,657,0
455,127,906,0
456,5791,799,5000
457,11395,1549,5000
458,2497,187,5000
459,9079,383,5000
460,2535,523,5000
461,286,559,0
462,12878,606,5000
463,10538,657,0
464,2889,1237,0
465,50,479,0
466,9343,264,5000
467,20,798,0
468,126,284,5000
469,12103,654,5000
470,419,1280,0
471,7509,1334,0
472,1529,1372,0
473,15022,1201,0
474,8511,685,5000
475,5301,665,5000
476,478,1046,0
477,5633,1526,0
478,4441,919,5000
479,2602,1551,0
480,9513,1206,5000
481,1703,592,5000
482,5665,831,0
483,12062,750,5000
484,8288,652,5000
485,7084,1184,0
486,4602,1000,0
487,11819,615,5000
488,5978,756,5000
489,5911,1169,0
490,12379,297,5000
491,7636,893,0
492,168,749,0
493,2668,803,0
494,3396,499,5000
495,11870,801,5000
496,2015,545,5000
497,107,682,0
498,11444,755,5000
499,1479,780,0
500,1624,741,0
501,5443,576,0
