Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,3612,3272,10000
1,386,2115,0
2,1170,2867,10000
3,1781,4389,5000
4,5434,2249,20000
5,9257,3434,20000
6,5623,2190,5000
7,333,2077,5000
8,223,2260,0
9,114,1633,0
10,292,2300,20000
11,1880,2392,5000
12,50,1620,0
13,50,1941,5000
14,958,3490,5000
15,302,324,20000
16,112,1435,10000
17,384,1825,5000
18,2062,2616,5000
19,318,2143,0
20,514,2651,5000
21,4141,4010,10000
22,9798,2343,20000
23,1701,3610,20000
24,50,1242,5000
25,50,1718,10000
26,3176,2761,10000
27,1976,3073,5000
28,50,1520,5000
29,5211,2585,0
30,5879,2372,0
31,711,3271,20000
32,2562,4155,5000
33,50,1654,0
34,110,1989,0
35,50,2585,0
36,15309,2075,20000
37,3638,2991,15000
38,316,2272,15000
39,3526,5378,10000
40,4814,2669,5000
41,1535,3234,0
42,1538,2981,0
43,5025,4139,10000
44,4692,2215,5000
45,939,2423,5000
46,1763,2906,10000
47,920,2604,20000
48,5363,3412,20000
49,15378,1170,20000
50,4507,4245,10000
51,419,3212,0
52,569,2363,5000
53,941,2418,0
54,2241,3292,5000
55,460,1841,10000
56,2160,3548,5000
57,1545,2231,0
58,660,2153,0
59,7924,2401,20000
60,2097,3366,10000
61,1037,2389,15000
62,1751,3777,20000
63,2056,2585,10000
64,1246,2220,15000
65,399,2240,0
66,12207,2330,20000
67,887,3910,5000
68,5029,4379,5000
69,2168,2752,0
70,3061,3729,0
71,20,3597,0
72,719,1915,5000
73,2274,2823,5000
74,7546,2093,20000
75,1898,2249,5000
76,5628,3233,20000
77,2877,3411,5000
78,2833,3812,5000
79,1294,2752,5000
80,2303,2713,15000
81,4673,3207,15000
82,1695,2669,5000
83,595,2153,5000
84,1571,2162,5000
85,1860,1733,10000
86,2834,3533,10000
87,1865,1837,5000
88,1201,2785,15000
89,2287,3895,5000
90,3857,4596,10000
91,2471,3096,5000
92,1476,2774,10000
93,1502,2484,0
94,2048,2049,5000
95,2486,2975,0
96,3241,4056,5000
97,2969,3951,5000
98,20,3985,5000
99,2892,4005,5000
100,3278,4361,10000
101,3080,3428,5000
102,3670,4151,5000
103,2942,2850,10000
104,1638,3397,5000
105,1884,3066,5000
106,311,1663,5000
107,2278,2850,15000
108,3612,2838,10000
109,1258,2933,0
110,1323,2565,5000
111,82,3202,15000
112,6058,3716,10000
113,1039,2694,5000
114,4040,3214,0
115,1811,3347,0
116,1664,3253,10000
117,2697,3272,10000
118,3050,4157,5000
119,859,1618,5000
120,734,2709,5000
121,1962,3971,0
122,2705,3859,0
123,1647,2475,10000
124,7532,3155,20000
125,254,3346,0
126,3215,4185,0
127,5676,3980,15000
128,50,2343,5000
129,11524,1795,20000
130,2154,4267,10000
131,5419,2152,20000
132,3068,3906,20000
133,2944,2659,0
134,50,4285,15000
135,1734,3156,5000
136,4004,3002,5000
137,3222,2226,10000
138,3829,3922,5000
139,3193,2350,5000
140,1894,2083,20000
141,344,1584,10000
142,1658,3341,10000
143,1487,1610,0
144,882,1602,10000
145,1086,2793,10000
146,1948,2927,10000
147,2981,3831,10000
148,1469,3787,5000
149,2302,3609,5000
150,1522,3095,10000
151,1355,1993,5000
152,1813,2553,10000
153,2173,3119,5000
154,1603,2600,5000
155,1148,2288,15000
156,1232,3146,15000
157,1031,4008,0
158,4127,2654,20000
159,2682,2883,5000
160,4682,3717,10000
161,3136,2906,15000
162,108,1599,5000
163,186,2555,5000
164,240,1143,10000
165,106,1210,5000
166,8731,1918,15000
167,1909,3286,10000
168,346,2009,10000
169,502,3576,0
170,254,2416,0
171,768,3021,15000
172,8822,2420,20000
173,2730,3721,5000
174,2399,2884,10000
175,1884,3903,0
176,1896,3531,0
177,210,3020,10000
178,2219,2535,10000
179,1934,2905,0
180,1524,2384,0
181,1510,2209,0
182,6000,2936,15000
183,6366,2482,20000
184,5030,4567,10000
185,1570,1922,15000
186,4580,2737,10000
187,4681,3236,10000
188,1467,2710,5000
189,837,2450,15000
190,684,2337,5000
191,1534,1339,5000
192,5151,1897,15000
193,20,3208,10000
194,520,1995,10000
195,1329,2905,5000
196,13951,2916,20000
197,3037,3260,15000
198,852,1821,5000
199,660,2781,5000
200,1215,3181,15000
201,664,1642,20000
202,579,1887,0
203,2877,1737,20000
204,449,1506,15000
205,1140,2802,10000
206,734,2140,5000
207,2032,3555,5000
208,459,1798,15000
209,10031,2406,20000
210,2721,2441,5000
211,830,2821,10000
212,6385,4127,15000
213,15486,2876,10000
214,245,1777,5000
215,566,2454,0
216,50,2451,5000
217,4637,1809,20000
218,991,1501,5000
219,168,1760,10000
220,451,2655,10000
221,442,2615,20000
222,236,2067,10000
223,199,2603,15000
224,5156,4233,5000
225,2982,2826,10000
226,4903,3410,15000
227,227,3025,0
228,618,2075,10000
229,312,2176,10000
230,8559,2729,15000
231,354,2669,0
232,280,2283,10000
233,1622,3463,10000
234,477,3028,15000
235,2485,2756,5000
236,989,3650,0
237,892,2939,5000
238,2309,3533,5000
239,1896,1920,10000
240,2987,3562,0
241,2185,2266,5000
242,3893,3793,0
243,1553,2866,0
244,3291,2678,15000
245,1093,3532,10000
246,907,2593,5000
247,1794,1936,10000
248,1869,2537,5000
249,2619,1974,20000
250,2193,3909,10000
251,3195,3097,15000
252,10097,2036,15000
253,1549,3209,5000
254,1492,2496,5000
255,3981,4698,15000
256,3309,4024,10000
257,50,2392,10000
258,6575,2214,20000
259,1662,3005,10000
260,836,1763,0
261,2056,2766,15000
262,1218,2894,15000
263,2251,2569,10000
264,1671,1676,15000
265,2533,3613,5000
266,3262,3654,5000
267,1101,2464,10000
268,1494,2840,5000
269,3148,2995,10000
270,1235,2268,0
271,2503,2313,0
272,2289,3488,15000
273,1683,2401,10000
274,1889,1711,0
275,4673,3500,5000
276,2786,2801,10000
277,1607,3175,5000
278,1926,2714,15000
279,3318,3006,10000
280,3373,4325,15000
281,3235,3036,10000
282,3184,3733,5000
283,6101,5385,15000
284,529,2582,5000
285,1021,3135,10000
286,314,1771,10000
287,1402,3158,10000
288,9509,2117,20000
289,3634,2744,5000
290,1669,3832,10000
291,3708,3636,5000
292,4674,3467,20000
293,2042,3089,0
294,2523,3116,5000
295,1365,1856,10000
296,2583,2754,5000
297,2787,3407,0
298,877,1505,10000
299,3099,2278,5000
300,911,4135,5000
301,668,3034,15000
302,1401,3173,10000
303,1856,1996,5000
304,2205,2964,5000
305,2213,3217,5000
306,1374,2742,10000
307,2889,2878,0
308,3991,2495,5000
309,2491,3031,0
310,20,2920,5000
311,2747,2486,5000
312,3125,3669,10000
313,1451,2182,10000
314,731,2242,5000
315,996,2595,15000
316,7976,2225,10000
317,1917,2297,20000
318,4535,2688,5000
319,2763,3510,5000
320,2982,3198,10000
321,8667,3013,20000
322,2032,3257,15000
323,2479,2414,15000
324,2104,3325,5000
325,2070,2108,15000
326,8757,2526,20000
327,1510,2295,5000
328,1161,2402,5000
329,1374,2896,10000
330,1153,3071,10000
331,1158,3444,5000
332,917,1941,15000
333,2148,3541,10000
334,4376,2676,20000
335,1125,1943,5000
336,755,2358,0
337,795,2406,0
338,786,2325,15000
339,1534,2906,5000
340,283,1835,0
