Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,14522,4359,40000
1,10258,1828,0
2,1371,2955,0
3,5405,1755,0
4,8888,2407,0
5,1585,3037,0
6,4797,1906,0
7,3250,1422,0
8,1499,2355,0
9,425,1668,0
10,170,2199,0
11,2079,1705,0
12,13318,2361,0
13,4484,2383,0
14,2349,2148,0
15,97,1019,5000
16,1716,836,0
17,4095,2783,0
18,693,1630,0
19,9678,2034,0
20,4276,3237,0
21,2519,3151,0
22,5854,2263,0
23,5301,3500,0
24,184,1027,0
25,50,1421,0
26,1441,1262,0
27,1168,2335,0
28,1738,3675,5000
29,3388,3347,0
30,6118,2382,0
31,14291,3071,0
32,903,2311,0
33,1089,2025,0
34,2997,2183,5000
35,4355,2937,0
36,725,3003,0
37,1814,2160,0
38,2095,1970,0
39,7877,2165,0
40,7954,3037,40000
41,1483,2291,0
42,1390,2204,0
43,3383,3115,5000
44,4428,2403,0
45,4005,2304,0
46,2333,2168,0
47,5443,2009,0
48,6027,2182,0
49,10419,2890,0
50,665,1795,0
51,363,1856,0
52,330,1785,0
53,450,2074,0
54,14532,3158,0
55,178,2104,0
56,6506,2134,0
57,1091,2910,0
58,2241,2343,5000
59,7723,3761,0
60,2762,3713,0
61,110,1991,0
62,1983,3029,0
63,606,2705,0
64,3354,2675,0
65,2582,1517,0
66,2432,2892,0
67,5523,1863,0
68,3070,3312,0
69,2206,2156,0
70,2656,2464,25000
71,20,1190,0
72,719,784,0
73,582,1820,0
74,841,2719,0
75,91,1997,0
76,1124,1430,0
77,1406,2449,0
78,563,1904,5000
79,1306,1858,0
80,5263,2118,0
81,4558,2372,0
82,390,1221,0
83,2788,1202,0
84,670,3275,35000
85,6195,2403,0
86,228,2654,0
87,942,2053,0
88,11593,3387,5000
89,1985,3304,0
90,5883,2099,0
91,6197,2927,0
92,1647,3415,0
93,1056,2090,0
94,8148,2856,0
95,2276,1975,5000
96,3936,3024,0
97,3138,2714,0
98,20,2693,0
99,7895,2362,0
100,4891,2208,0
101,5632,2522,0
102,8497,5308,0
103,5965,3149,0
104,6858,2746,0
105,3286,2027,0
106,4423,1539,0
107,4556,1745,0
108,4598,2272,0
109,2942,2242,0
110,4727,2093,0
111,82,2769,0
112,5182,3272,0
113,113,2441,0
114,426,1856,0
115,2229,2858,0
116,8355,2530,0
117,5681,2590,0
118,5900,3837,0
119,3330,2685,0
120,2252,2746,0
121,3654,3119,0
122,5579,2905,0
123,3959,2336,0
124,1627,3545,0
125,4377,1692,5000
126,8368,1417,5000
127,1529,3217,0
128,8379,3283,40000
129,2239,2717,0
130,2686,3210,0
131,6422,1357,0
132,1853,2304,0
133,1815,2041,0
134,1270,1984,0
135,144,1530,0
136,3164,1967,0
137,1485,3147,0
138,3500,3451,35000
139,3971,1914,0
140,3556,1659,0
141,361,2325,0
142,1532,2728,0
143,1784,1820,0
144,5708,1339,0
145,2599,3953,0
146,6399,2303,0
147,5770,2818,0
148,5690,3272,0
149,1866,2711,0
150,108,1753,0
151,412,1686,0
152,967,2529,0
153,1175,2548,0
154,3077,3148,0
155,1175,1710,0
156,4434,2794,0
157,214,1703,0
158,703,2476,0
159,3935,1885,0
160,1086,2744,0
161,504,2971,0
162,5595,1393,0
163,1215,2756,0
164,179,1401,0
165,106,1600,0
166,50,1489,0
167,347,2999,0
168,5129,1825,0
169,107,1993,0
170,978,3359,0
171,746,3490,0
172,385,2601,0
173,517,2601,0
174,3725,2321,0
175,161,1762,0
176,177,1890,0
177,93,2409,0
178,611,2717,0
179,50,2348,0
180,1018,1141,0
181,1004,1488,0
182,242,2795,0
183,168,1643,0
184,2752,2598,0
185,100,1151,0
186,138,719,5000
187,122,2263,0
188,6149,1574,0
189,20,1780,0
190,108,1964,0
191,3522,2013,5000
192,5133,1649,10000
193,20,3145,0
194,9580,1577,5000
195,2856,2636,0
196,3406,3426,0
197,7416,2866,40000
198,1734,1948,0
199,8036,3384,0
200,3728,2529,0
201,4183,2673,0
202,2874,2227,0
203,2867,1713,0
204,4977,2731,0
205,2479,1896,0
206,4012,2714,0
207,5948,4384,0
208,336,1749,0
209,133,2755,0
210,2292,2048,0
211,1504,1376,0
212,50,3785,0
213,15929,2524,0
214,4028,3153,0
215,12656,2204,0
216,4367,1603,0
217,2509,2564,0
218,4116,1709,0
219,2661,2331,0
220,7002,3008,0
221,8393,3766,0
222,50,1037,0
223,4196,2269,0
224,3644,2836,0
225,50,1333,0
226,164,2919,10000
227,619,2861,0
228,50,1799,0
229,2416,2553,0
230,3473,2822,0
231,4300,2473,0
232,12984,1855,0
233,50,1681,0
234,112,1841,0
235,180,2179,0
236,20,1452,0
237,903,1824,0
238,252,1825,0
239,5442,1627,0
240,116,2477,0
241,165,2561,0
242,613,2039,0
243,50,1548,10000
244,715,3320,0
245,7485,2131,0
246,671,1674,0
247,1459,1621,0
248,739,1974,0
249,973,2379,0
250,480,3174,30000
251,2527,1629,0
252,3316,3617,0
253,916,2592,0
254,3572,2092,5000
255,5559,3952,0
256,3695,2075,0
257,8105,1916,0
258,843,2371,0
259,4190,2072,0
260,750,1017,0
261,1442,1749,5000
262,108,1580,0
263,587,1868,0
264,1128,1699,5000
265,159,2615,0
